snr,mass1s,mass2s,iters,iter,mass1,mass2,final_mass,event_name,strain,time
19.696018,33.42790816,36.50971672,37,37,33.42790816127692,36.50971671961744,69.93762488089436,GW150914,H1,31.001742124557495
13.943877,33.08819538,35.44142445,72,72,33.08819537709995,35.441424454124466,68.52961983122441,GW150914,L1,31.097443103790283
6.688383,19.4331331,22.10740819,3,3,19.433133096152044,22.107408187992196,41.54054128414424,GW151012,H1,31.20181941986084
6.5437684,20.69233662,20.86036339,64,64,20.69233661631969,20.860363394168967,41.55270001048866,GW151012,L1,30.717928886413574
6.108694,11.19316984,11.05423777,87,87,11.193169843469102,11.054237765174436,22.247407608643538,GW151226,H1,31.437575578689575
5.838947,27.21957154,27.20216479,492,492,27.219571541255558,27.20216478870052,54.421736329956076,GW151226,L1,31.03386926651001
8.791286,29.16747237,28.84400312,80,80,29.167472374287847,28.844003120855298,58.011475495143145,GW170104,H1,31.008144855499268
9.570138,29.48595511,28.34982969,20,20,29.485955106690835,28.349829692702368,57.8357847993932,GW170104,L1,31.10857653617859
5.869803,22.63543895,34.05930964,122,122,22.635438954453722,34.05930963817391,56.69474859262763,GW170608,H1,30.726551055908203
5.0498004,23.16131351,46.64212432,493,493,23.161313511359293,46.64212432097425,69.80343783233354,GW170608,L1,30.805540561676025
5.461937,25.82934048,27.75136378,28,28,25.82934048022138,27.751363775317504,53.58070425553888,GW170729,H1,30.738724946975708
8.107001,39.53100629,55.72644277,499,499,39.53100628567937,55.726442772224715,95.25744905790408,GW170729,L1,31.011794090270996
6.1719,22.612089,35.52139284,449,449,22.612088998366655,35.521392844530276,58.13348184289693,GW170809,H1,30.670809745788574
10.807286,21.98180833,44.74748576,385,385,21.981808333166665,44.747485761240696,66.72929409440736,GW170809,L1,31.009882926940918
9.053815,29.61016776,29.07417404,29,29,29.61016776474029,29.074174044422314,58.6843418091626,GW170814,H1,30.445656776428223
13.003059,29.06493356,29.35904324,13,13,29.064933563644885,29.359043241124123,58.42397680476901,GW170814,L1,31.14215874671936
4.9508524,11.0,11.0,0,0,11.0,11.0,22.0,GW170817,H1,30.925999879837036
341.84058,119.99876451,119.99934536,492,492,119.99876450854245,119.99934536377845,239.9981098723209,GW170817,L1,31.426877975463867
5.3996253,21.02928978,22.69519373,73,73,21.029289775690504,22.69519373253088,43.72448350822138,GW170818,H1,30.450801134109497
10.324969,35.57548666,36.36644716,71,71,35.575486658206756,36.36644716283732,71.94193382104407,GW170818,L1,30.87317705154419
6.854823,32.43426557,41.58539737,132,132,32.434265572726936,41.585397366533115,74.01966293926006,GW170823,H1,30.879563093185425
9.695133,38.01029551,43.99135745,203,203,38.01029550747254,43.991357445567786,82.00165295304032,GW170823,L1,31.00242590904236
